id,name,our_labels,verdict,correct_labels,source,reasoning
CMP_G001923,Uvaol,Terpenoid,CORRECT,Terpenoid,"ScienceDirect; ACS Omega 2021","Ursane-type pentacyclic C30 triterpenoid diol. Definitively a terpenoid."
CMP_G001274,"4-(1-methyl-2-pyrrolidinyl)-3-methyloxobutanoate (MPMOB)",Other,CORRECT,Other,"PubChem CID 938 (nicotinic acid); SMILES analysis","NAME-SMILES MISMATCH: Name says pyrrolidinyl compound but SMILES is nicotinic acid (niacin/vitamin B3). Either way nicotinic acid is a pyridine carboxylic acid not fitting any specific class. Other acceptable."
CMP_G000942,"Naphthalene, 2,7-dimethyl-",Other,CORRECT,Other,Structure analysis,"Simple PAH/aromatic hydrocarbon. Synthetic/petrochemical compound. Other is correct."
CMP_G001550,cyclododecanone,Other,CORRECT,Other,Structure analysis,"Simple cyclic ketone (C12H22O). Industrial chemical. Other is correct."
CMP_G000978,,Steroid,CORRECT,Steroid,Structure analysis (SMILES),"SMILES shows 6-6-6-5 steroid nucleus with hydroxyl groups and isooctyl side chain. 25-Hydroxycholesterol or similar oxysterol. C27 steroid. Correct."
CMP_G000166,6-Methoxy-2-methyltryptophan,Amino_acid,CORRECT,Amino_acid,Structure analysis,"Has alpha-amino group and carboxylic acid. Methoxy-methyltryptophan derivative. Amino acid correct."
CMP_G000011,A 3'-Unsubstituted Flavone,Other,CORRECT,Other,Structure analysis,"SMILES contains wildcard atoms (*) indicating a generic/template flavone. Cannot assign specific class to a template. Other acceptable."
CMP_G001529,(S)-nicotine,Alkaloid,CORRECT,Alkaloid,"Wikipedia Nicotine","Classic plant alkaloid from Nicotiana tabacum. Pyrrolidine + pyridine nitrogen-containing natural product. Alkaloid correct."
CMP_G001526,,Terpenoid,CORRECT,Terpenoid,Structure analysis (SMILES),"C10H15Br: brominated monoterpene skeleton (bicyclic gem-dimethyl). Resembles brominated pinene derivative. Monoterpenoid correct."
CMP_G000936,6-Ethynyl-2-methyltryptophan,Amino_acid,CORRECT,Amino_acid,Structure analysis,"Has alpha-amino group and carboxylic acid on tryptophan scaffold with ethynyl and methyl substitutions. Amino acid correct."
