id,name,final_labels,confidence,source,reasoning
CMP_G000102,Heptanol,Other,medium,PubChem CID 8129; Wikipedia fatty alcohol,"7-carbon fatty alcohol found in essential oils and fruits. However, fatty alcohols lack the acyl (C=O) group required by our Fatty_acid definition (LIPID MAPS Fatty Acyls)."
CMP_G000105,,Other,high,PubChem CID 9973 (4-fluorobenzoic acid),"SMILES O=C(O)c1ccc(F)cc1 is 4-fluorobenzoic acid. Synthetic fluorinated benzoic acid. Not a phenylpropanoid (no C6-C3 skeleton). Fluorine substitution confirms synthetic origin."
CMP_G000106,Imipramine,Other,high,Wikipedia Imipramine; DrugBank DB00458,"Synthetic tricyclic antidepressant (dibenzazepine). First TCA marketed in 1957. Entirely synthetic; N-heterocycle does not make it an alkaloid."
CMP_G000107,Propanol,Other,high,Wikipedia 1-Propanol; PubChem CID 1031,"Simple 3-carbon primary alcohol (CH3CH2CH2OH). Too short for fatty alcohol (needs >=6C chain). Simple solvent/chemical, not any natural product class."
CMP_G000114,"alpha-Amino-5-bromo-1,2-dimethyl-1H-indole-3-propanal",Other,high,SMILES analysis,"Synthetic brominated (5-Br) and N-methylated indole derivative with aldehyde (-CHO). No intact amino acid backbone. Synthetic tryptophan analog."
CMP_G000123,5-(4-methoxyphenyl)pentanoic acid,Other,medium,PubChem CID 344501,"Phenyl-substituted pentanoic acid. While it has a >=4C acyl chain, the aromatic ring makes it a phenylalkanoic acid rather than a typical fatty acyl. Not a known natural product. Not phenylpropanoid (C6-C5 not C6-C3)."
CMP_G000126,(S)-Reticuline,Alkaloid,high,Wikipedia Reticuline; PNAS BIA biosynthesis,"Benzylisoquinoline alkaloid (BIA), the central branch-point intermediate for morphine, berberine, sanguinarine biosynthesis. Major plant alkaloid from Papaveraceae."
CMP_G000127,(R)-Reticuline,Alkaloid,high,Wikipedia Reticuline; PNAS BIA biosynthesis,"(R)-enantiomer of reticuline, a benzylisoquinoline alkaloid. Same BIA classification as (S)-reticuline. Found in Nelumbo nucifera and other plants."
CMP_G000140,,Other,high,PubChem CID 104068 (4-(2-bromoethyl)benzoic acid),"SMILES O=C(O)c1ccc(CCBr)cc1 is 4-(2-bromoethyl)benzoic acid. Synthetic brominated benzoic acid derivative. Not a phenylpropanoid (no C6-C3 from PAL; bromine confirms synthetic)."
CMP_G000146,(S)-cis-N-methyltetrahydropalmatine,Alkaloid,high,ScienceDirect protoberberine review; Nature Comms BIA pathway,"Tetrahydroprotoberberine alkaloid (subclass of benzylisoquinoline alkaloids). N-methylated form of tetrahydropalmatine, used medicinally in China as analgesic."
CMP_G000149,"alpha-Amino-1,2,6-trimethyl-1H-indole-3-propanal",Other,high,SMILES analysis,"Synthetic trimethylated indole derivative with aldehyde (-CHO) instead of -COOH. Not a natural product; no intact amino acid backbone."
CMP_G000151,(S)-N-Methylcoclaurine,Alkaloid,high,ScienceDirect BIA pathway; PubMed NMCH CYP80B1,"Tetrahydrobenzylisoquinoline alkaloid, key intermediate in BIA biosynthesis. Precursor to (S)-reticuline via CYP80B1 hydroxylation. Well-established plant alkaloid."
