id,name,our_labels,verdict,correct_labels,source,reasoning
CMP_G000074,6-Methoxytryptophan,Amino_acid,CORRECT,Amino_acid,SMILES analysis,"SMILES COc1ccc2c(CC(N)C(=O)O)c[nH]c2c1 retains full alpha-amino acid backbone (NH2-CH-COOH) on tryptophan with 6-methoxy substitution. Valid amino acid."
CMP_G001393,(8R,9Z,12Z)-8-hydroperoxyoctadeca-9,12-dienoate,Fatty_acid,CORRECT,Fatty_acid,SMILES analysis,"C18 fatty acid with hydroperoxide group and two double bonds. Oxylipin derived from linoleic acid. Fatty_acid correct."
CMP_G001837,2-amino-3-(7-methoxy-1,2-dimethylindol-3-yl)propanoic acid,Amino_acid,CORRECT,Amino_acid,SMILES analysis,"SMILES shows N-methylated indole with methoxy group but retains alpha-amino acid backbone (NH2-CH-COOH). Modified tryptophan — valid amino acid."
CMP_G001840,7-Chloro-1-methyltryptophan,Amino_acid,CORRECT,Amino_acid,SMILES analysis,"SMILES Cn1cc(CC(N)C(=O)O)c2cccc(Cl)c21 is 1-methyl-7-chlorotryptophan. Retains NH2-CH-COOH backbone. Valid amino acid."
CMP_G001627,(ecdysteroid-like steroid),Steroid,CORRECT,Steroid,SMILES analysis; Wikipedia Ecdysteroid,"SMILES shows 6-6-6-5 steroidal ring system with multiple hydroxyl groups and side chain with terminal diol = ecdysteroid pattern (similar to 20-hydroxyecdysone with extra hydroxylations). Steroid correct."
CMP_G000674,(7-hydroxycholesterol derivative),Steroid,CORRECT,Steroid,SMILES analysis,"SMILES shows classic cholestane 6-6-6-5 ring system with 3-keto, 7-hydroxy, and methylheptanyl side chain = 7alpha-hydroxycholest-4-en-3-one. Steroid correct."
CMP_G000547,(tocopherol/vitamin E analog),Terpenoid,CORRECT,Terpenoid,Wikipedia Tocopherol; Vitamin E,"SMILES shows chromanol ring with isoprenoid C16 phytyl tail and two phenolic OH = delta-tocopherol (vitamin E form). Tocopherols are meroterpenoids (prenylated phenols). Terpenoid classification is correct."
CMP_G001635,3-Dehydro-6-Deoxoteasterone,Steroid,CORRECT,Steroid,Wikipedia Brassinosteroid; PubChem 6-Deoxoteasterone,"Brassinosteroid intermediate. 6-6-6-5 steroid ring system (C28) with 3-keto group. Steroids are correct."
CMP_G000233,2-deoxyecdysone,Steroid,CORRECT,Steroid,PubChem CID 13939876; ChEBI:19566; Wikipedia Ecdysteroid,"Ecdysteroid (C27) lacking 2-hydroxyl. 6-6-6-5 ring system confirmed. Steroid correct."
CMP_G000555,Indole-2-carboxylic acid,Alkaloid,WRONG,Other,PubChem CID 72899; Wikipedia Indole alkaloid,"SMILES O=C(O)c1cc2ccccc2[nH]1 is indole-2-carboxylic acid. While indole is the core of many alkaloids, this simple indole carboxylic acid is NOT itself a natural alkaloid. It lacks the complexity and biosynthetic origin of true alkaloids. It is a simple heterocyclic aromatic acid. Classify as Other."
CMP_G001624,alpha-Amino-1,2-dimethyl-5-(4-morpholinyl)-1H-indole-3-propanal,Other,CORRECT,Other,SMILES analysis,"SMILES shows dimethylindole with morpholine substituent and alpha-amino aldehyde side chain. Synthetic/modified indole derivative. No COOH = not amino acid. Morpholine ring = synthetic modification. Other is correct."
CMP_G000381,(N-palmitoyl methionine),Fatty_acid,CORRECT,Fatty_acid,Wikipedia Fatty acyl-CoA; lipo-amino acid literature,"SMILES CCCCCCCCCCCCCCCC(=O)N[C@@H](CCSC)C(=O)O is N-palmitoyl-L-methionine. The dominant structural feature is the C16 palmitoyl chain. This is a lipo-amino acid / N-acyl amino acid. Classifying as Fatty_acid is reasonable since the fatty acid moiety dominates."
CMP_G000433,8-oxogeraniol,Terpenoid,CORRECT,Terpenoid,PubChem CID 11412603; ChEBI:64236; Wikipedia 8-Oxogeranial,"Monoterpenoid (C10) derived from geraniol oxidation. Key intermediate in iridoid biosynthetic pathway. Terpenoid correct."
CMP_G001643,(steroid with 17-acetyl group),Steroid,CORRECT,Steroid,"SMILES analysis; structural comparison","SMILES CC(=O)[C@@]1(O)CC[C@H]2[C@@H]3CC[C@H]4CC(=O)CC[C@]4(C)[C@H]3CC[C@@]21C shows 6-6-6-5 steroid ring system with 17alpha-hydroxy-progesterone pattern (3-keto, 17-OH, 17-acetyl). Steroid correct."
CMP_G000990,Hydrogen Peroxide,Other,CORRECT,Other,Wikipedia Hydrogen peroxide,"H2O2 (SMILES: OO). Simple inorganic peroxide / reactive oxygen species. Not a natural product class. Other correct."
