record_id,chunk_id,uniprot_id,enzyme_name,ligand_name,pdb_id,original_class,verified_class,confidence,evidence_level,is_correct,is_mutant,trap_detected,needs_human_review,review_reason,reasoning
REC_0194,04,P00183,CYP101A1 (P450cam),METYRAPONE,1PHG,inhibitor,INHIBITOR,HIGH,A,True,False,none,False,,Metyrapone is a classical diagnostic P450 inhibitor. Widely used in clinical and research settings. Original classification correct. Very high confidence as INHIBITOR.
REC_0195,04,P00183,CYP101A1 (P450cam),"DELTA-BIS(2,2-BIPYRIDINE)-(5-METHYL-2-2-BIPYRIDINE)-C9-ADAMANTANE RUTHENIUM (II)",1QMQ,substrate,EXCLUDE,MEDIUM,D,False,False,none,True,Original substrate classification incorrect; ruthenium complex is research probe not enzymatic substrate,"This is a ruthenium bipyridine complex with adamantane linker, used as photosensitizer or electron transfer probe. Not an enzymatic substrate despite adamantane moiety. Should be EXCLUDE not substrate"
REC_0196,04,P00183,CYP101A1 (P450cam),ADAMANTANE-1-CARBOXYLIC ACID-5-DIMETHYLAMINO-NAPHTHALENE-1-SULFONYLAMINO-OCTYL-AMIDE,1RE9,unknown,EXCLUDE,MEDIUM,D,True,False,none,False,,"This is a dansyl (dimethylaminonaphthalene) fluorescent probe tethered to adamantane. Synthetic probe for structural studies, not a substrate/inhibitor/product. EXCLUDE."
REC_0197,04,P00183,CYP101A1 (P450cam),ADAMANTANE-1-CARBOXYLIC ACID-5-DIMETHYLAMINO-NAPHTHALENE-1-SULFONYLAMINO-BUTYL-AMIDE,1RF9,unknown,EXCLUDE,MEDIUM,D,True,False,none,False,,"Another dansyl fluorescent probe with shorter butyl linker. Similar to REC_0196, synthetic probe for research. EXCLUDE."
REC_0198,04,P00183,CYP101A1 (P450cam),XENON,1UYU,unknown,EXCLUDE,HIGH,D,True,False,none,False,,"Xenon is a noble gas used in xenon derivative crystallography for phasing. Not a substrate, inhibitor, or product. EXCLUDE."
REC_0199,04,P00183,CYP101A1 (P450cam),OXYGEN MOLECULE,2A1O,unknown,EXCLUDE,HIGH,D,True,False,none,False,,O2 is the co-substrate for P450 catalysis but not the primary substrate. Should be EXCLUDE from substrate/inhibitor/product classification.
REC_0200,04,P00183,CYP101A1 (P450cam),PROTOPORPHYRIN IX CONTAINING MN,2FE6,unknown,EXCLUDE,HIGH,D,True,False,none,False,,"Manganese protoporphyrin is a modified cofactor/heme analog used in mechanistic studies. Not a substrate, inhibitor, or product. EXCLUDE."
REC_0201,04,P00183,CYP101A1 (P450cam),"1,2,3,4,5-PENTACHLOROBENZENE",2GQX,unknown,INHIBITOR,MEDIUM,B,True,False,none,False,,Pentachlorobenzene is a highly chlorinated aromatic that binds to P450cam active site. Acts as competitive ligand/inhibitor rather than substrate. Medium confidence as INHIBITOR.
REC_0202,04,P00183,CYP101A1 (P450cam),1-METHYLIMIDAZOLE,2H7R,inhibitor,INHIBITOR,HIGH,A,True,False,none,False,,"1-methylimidazole is a classic P450 inhibitor, imidazole coordinates to heme iron. Original classification correct. HIGH confidence as INHIBITOR."
REC_0203,04,P00183,CYP101A1 (P450cam),7-METHYL-7-DEPROPIONATEHEMIN,2Z97,unknown,EXCLUDE,HIGH,D,True,False,none,False,,"Modified hemin/heme analog used for mechanistic or structural studies. Not a substrate, inhibitor, or enzymatic product. EXCLUDE."
REC_0204,04,P00183,CYP101A1 (P450cam),6-METHY-6-DEPROPIONATEHEMIN,2ZAW,unknown,EXCLUDE,HIGH,D,True,False,none,False,,"Another modified hemin/heme analog. Similar to REC_0203, used for research purposes. EXCLUDE."
REC_0205,04,P00183,CYP101A1 (P450cam),"N-{15-oxo-19-[(3aS,4S,6aR)-2-oxohexahydro-1H-thieno[3,4-d]imidazol-4-yl]-4,7,10-trioxa-14-azanonadec-1-yl}-N-(8-{[(3S,5S,7S)-tricyclo[3.3.1.1~3,7~]dec-1-ylcarbonyl]amino}octyl)pentanediamide",3OIA,substrate,EXCLUDE,MEDIUM,D,False,False,none,True,Original substrate classification incorrect; this is biotinylated tethered probe not enzymatic substrate,This is a complex biotinylated probe (biotin-PEG-adamantane) used for affinity studies or structural analysis. Not an enzymatic substrate despite adamantane moiety. Should be EXCLUDE.
REC_0206,04,P00183,CYP101A1 (P450cam),"(1R,3S,5R,7S)-N-[8-({[5-(dimethylamino)naphthalen-1-yl]sulfonyl}amino)octyl]-3-hydroxytricyclo[3.3.1.1~3,7~]decane-1-carboxamide",3OL5,substrate,EXCLUDE,MEDIUM,D,False,False,none,True,Original substrate classification incorrect; dansyl-adamantane probe not enzymatic substrate,"Dansyl fluorescent probe tethered to hydroxyadamantane. Synthetic probe for structural studies, not an enzymatic substrate. Should be EXCLUDE."
REC_0207,04,P00183,CYP101A1 (P450cam),"(3S,5S,7S)-N-(2-{2-[2-({[5-(dimethylamino)naphthalen-1-yl]sulfonyl}amino)ethoxy]ethoxy}ethyl)tricyclo[3.3.1.1~3,7~]decane-1-carboxamide",3P6O,substrate,EXCLUDE,MEDIUM,D,False,False,none,True,Original substrate classification incorrect; PEG-dansyl probe not enzymatic substrate,"Dansyl probe with PEG linker attached to adamantane. Research tool for structural studies, not an enzymatic substrate. Should be EXCLUDE."
REC_0208,04,P00183,CYP101A1 (P450cam),"(3S,5S,7S)-N-[6-({5-[(3aS,4S,6aR)-2-oxohexahydro-1H-thieno[3,4-d]imidazol-4-yl]pentanoyl}amino)hexyl]tricyclo[3.3.1.1~3,7~]decane-1-carboxamide",3P6P,substrate,EXCLUDE,MEDIUM,D,False,False,none,True,Original substrate classification incorrect; biotin-adamantane probe not enzymatic substrate,Biotinylated adamantane probe for affinity or structural studies. Not an enzymatic substrate. Should be EXCLUDE.
REC_0209,04,P00183,CYP101A1 (P450cam),"N-[8-({[5-(dimethylamino)naphthalen-1-yl]sulfonyl}amino)octyl]-2-[(3S,5S,7S)-tricyclo[3.3.1.1~3,7~]dec-1-yl]acetamide",3P6T,substrate,EXCLUDE,MEDIUM,D,False,False,none,True,Original substrate classification incorrect; dansyl probe not enzymatic substrate,"Dansyl fluorescent probe with adamantylacetamide. Synthetic research tool, not an enzymatic substrate. Should be EXCLUDE."
REC_0210,04,P00183,CYP101A1 (P450cam),"N-[8-({[5-(dimethylamino)naphthalen-1-yl]sulfonyl}amino)octyl]-3-[(3S,5S,7S)-tricyclo[3.3.1.1~3,7~]dec-1-yl]propanamide",3P6X,substrate,EXCLUDE,MEDIUM,D,False,False,none,True,Original substrate classification incorrect; dansyl probe not enzymatic substrate,"Dansyl fluorescent probe with adamantylpropanamide. Synthetic research tool, not an enzymatic substrate. Should be EXCLUDE."
REC_0211,04,P00183,CYP101A1 (P450cam),ADAMANTANE,4CPP,substrate,SUBSTRATE,MEDIUM,B,True,False,none,False,,Adamantane is a known alternative substrate for P450cam. Can be hydroxylated though less efficiently than camphor. Original classification correct. Medium-high confidence as SUBSTRATE.
REC_0212,04,P00183,CYP101A1 (P450cam),"S-[(1-oxyl-2,2,5,5-tetramethyl-2,5-dihydro-1H-pyrrol-3-yl)methyl] methanesulfonothioate",4EK1,unknown,EXCLUDE,HIGH,D,True,False,none,False,,"This is a TEMPO (nitroxide radical) derivative used as spin label or redox probe. Not a substrate, inhibitor, or product. EXCLUDE."
REC_0213,04,P00183,CYP101A1 (P450cam),"1,1-hexane-1,6-diyldipyrrolidine-2,5-dione",4JX1,substrate,EXCLUDE,HIGH,D,False,False,none,True,Original substrate classification incorrect; bis-maleimide crosslinker not enzymatic substrate,This is a bis-maleimide crosslinker used for protein modification or structural studies. Not an enzymatic substrate. Should be EXCLUDE.
REC_0214,04,P00183,CYP101A1 (P450cam),N-(pyren-1-yl)acetamide,4KKY,substrate,EXCLUDE,HIGH,D,False,False,none,True,Original substrate classification incorrect; pyrene fluorophore not enzymatic substrate,"Pyrene-labeled acetamide used as fluorescent probe. Not an enzymatic substrate, used for spectroscopic studies. Should be EXCLUDE."
REC_0215,04,P00183,CYP101A1 (P450cam),CAMPHOR,4L4E,substrate,SUBSTRATE,HIGH,A,True,False,none,False,,Camphor is the canonical natural substrate of P450cam. Extensively studied with well-characterized kinetics. Original classification correct. Very high confidence as SUBSTRATE.
REC_0216,04,P00183,CYP101A1 (P450cam),CYANIDE ION,4L4E,substrate,EXCLUDE,HIGH,D,False,False,none,True,Original substrate classification incorrect; cyanide is P450 inhibitor not substrate,"Cyanide ion coordinates to heme iron and acts as inhibitor. Not a substrate for hydroxylation. Should be EXCLUDE (or INHIBITOR, but typically classified as EXCLUDE for small ions)."
REC_0217,04,P00183,CYP101A1 (P450cam),ADAMANTANONE,5CPP,substrate,SUBSTRATE,MEDIUM,B,True,False,none,False,,"Adamantanone is an alternative substrate for P450cam, related to adamantane. Can undergo further oxidation. Original classification correct. Medium-high confidence as SUBSTRATE."
REC_0218,04,P00183,CYP101A1 (P450cam),FE2/S2 (INORGANIC) CLUSTER,5GXG,unknown,EXCLUDE,HIGH,D,True,False,none,False,,"Iron-sulfur cluster is a cofactor, not a substrate, inhibitor, or product. EXCLUDE."
REC_0219,04,P00183,CYP101A1 (P450cam),CAMPHANE,6CPP,substrate,SUBSTRATE,HIGH,B,True,False,none,False,,Camphane is a saturated camphor analog and alternative substrate for P450cam. Well-studied substrate. Original classification correct. High confidence as SUBSTRATE.
REC_0220,04,P00183,CYP101A1 (P450cam),5-EXO-HYDROXYCAMPHOR,6WFL,substrate,PRODUCT,HIGH,A,False,False,substrate_product_confusion,True,"Original substrate classification incorrect; 5-exo-hydroxycamphor is the product of camphor hydroxylation, not the substrate","5-exo-hydroxycamphor is the major product of camphor hydroxylation by P450cam, not the substrate. This is substrate/product confusion trap. Should be PRODUCT not substrate."
REC_0221,04,P00183,CYP101A1 (P450cam),NORCAMPHOR,7CPP,substrate,SUBSTRATE,HIGH,A,True,False,none,False,,Norcamphor is a well-characterized substrate for P450cam. Camphor analog with documented catalytic activity. Original classification correct. High confidence as SUBSTRATE.
REC_0222,04,P00183,CYP101A1 (P450cam),THIOCAMPHOR,8CPP,substrate,SUBSTRATE,HIGH,A,True,False,none,False,,Thiocamphor is a sulfur analog of camphor and substrate for P450cam. Well-studied substrate. Original classification correct. High confidence as SUBSTRATE.
REC_0223,04,P04798,CYP1A1,2-PHENYL-4H-BENZO[H]CHROMEN-4-ONE,4I8V,unknown,INHIBITOR,HIGH,A,True,False,none,False,,"This is alpha-naphthoflavone (ANF), a classical and potent CYP1A1 inhibitor widely used in research. Very high confidence as INHIBITOR."
REC_0224,04,P04798,CYP1A1,NITRATE ION,4I8V,unknown,EXCLUDE,HIGH,D,True,False,none,False,,"Nitrate ion is a crystallization artifact or buffer component. Not a substrate, inhibitor, or product. EXCLUDE."
REC_0225,04,P04798,CYP1A1,3-[(3-CHOLAMIDOPROPYL)DIMETHYLAMMONIO]-1-PROPANESULFONATE,6DWM,unknown,EXCLUDE,HIGH,D,True,False,none,False,,"This is CHAPS detergent used for protein solubilization and crystallization. Not a substrate, inhibitor, or product. EXCLUDE."
REC_0226,04,P04798,CYP1A1,"4-{[(2E)-3,7-dimethylocta-2,6-dien-1-yl]oxy}-7H-furo[3,2-g][1]benzopyran-7-one",6DWM,unknown,INHIBITOR,MEDIUM,B,True,False,none,False,,"This is bergamottin, a furanocoumarin found in grapefruit juice. Known mechanism-based inhibitor of CYP1A and CYP3A enzymes. Medium-high confidence as INHIBITOR."
REC_0227,04,P04798,CYP1A1,"[6,7-BIS(2-METHOXY-ETHOXY)QUINAZOLINE-4-YL]-(3-ETHYNYLPHENYL)AMINE",6DWN,unknown,SUBSTRATE,MEDIUM,B,True,False,none,False,,"This is erlotinib, an EGFR tyrosine kinase inhibitor anticancer drug. Metabolized by CYP1A1 and CYP3A4. Medium-high confidence as SUBSTRATE."
REC_0228,04,P04798,CYP1A1,"[(1S)-1-(chloromethyl)-1,6-dihydropyrrolo[3,2-e]indol-3(2H)-yl](5-methoxy-1H-indol-2-yl)methanone",6UDL,unknown,SUBSTRATE,MEDIUM,B,True,False,none,False,,This is a duocarmycin prodrug being studied for bioactivation by CYP1A1 in cancer therapy. Acts as substrate for metabolic activation. Medium confidence as SUBSTRATE.
